"sep=,"
Name,Type,Color,Rarity,Author,Power,Toughness,Mana cost,Converted mana cost,Count,Foil count,Special foil count,Price,Foil price,Number,Set,ID,Multiverse ID,Comments,To trade,Condition,Grading,Languages,TCG ID,Cardmarket ID
"Backup Agent","Creature - Human Citizen",White,Common,"Aaron J. Riley",1,1,(1)(W),2,4,0,0,$0.00,$0.00,2,"Streets of New Capenna",72839,555203,,0,,,,269043,652150
"Brago, King Eternal","Legendary Creature - Spirit",Multicolors,Rare,"Karla Ortiz",2,4,(2)(W)(U),4,1,0,0,$1.75,$1.75,41,"Conspiracy",30721,382221,,0,,,,82880,267111
"Hivis of the Scale","Legendary Creature - Viashino Shaman",Red,Rare,"Andrew Robinson",3,4,(3)(R)(R),5,1,0,0,$0.59,$0.59,182,"Mirage",3673,3453,,0,,,,5101,8233
