TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"8519152","Magic","Aetherdrift","Basri, Tomorrow's Champion","","3","R","Near Mint","0.14","0.14","1.3200","0.0100","0","0","0.4600",""
"8519182","Magic","Aetherdrift","Basri, Tomorrow's Champion","","3","R","Near Mint Foil","0.24","0.20","1.4000","0.0900","0","0","0.3800",""
"8520892","Magic","Aetherdrift","Basri, Tomorrow's Champion (Borderless)","","355","R","Near Mint","0.21","0.21","1.3600","0.0500","0","0","0.3300",""
"8525891","Magic","Aetherdrift","Bleachbone Verge","","250","R","Near Mint","7.48","8.87","5.9800","4.6700","0","0","4.8900",""
"8525921","Magic","Aetherdrift","Bleachbone Verge","","250","R","Near Mint Foil","7.36","8.54","6.9900","5.6800","0","0","5.6900",""
"8525826","Magic","Aetherdrift","Bleachbone Verge (Borderless)","","371","R","Near Mint","7.89","7.94","7.9400","7.9400","0","0","8.1700",""
"8525856","Magic","Aetherdrift","Bleachbone Verge (Borderless)","","371","R","Near Mint Foil","10.56","11.02","10.4500","9.4600","0","0","10.1600",""
"8523325","Magic","Aetherdrift","Bloodghast","","77","R","Near Mint","0.81","0.94","1.9100","0.6000","0","0","0.7200",""
"8523234","Magic","Aetherdrift","Bloodghast (Borderless)","","337","R","Near Mint","0.88","0.99","1.5500","0.2400","0","0","0.9400",""
"8519212","Magic","Aetherdrift","Boommobile","","113","R","Near Mint","0.07","0.08","1.3200","0.0100","0","0","0.2800",""
"8519242","Magic","Aetherdrift","Boommobile","","113","R","Near Mint Foil","0.13","0.11","1.4000","0.0900","0","0","0.3100",""
"8520952","Magic","Aetherdrift","Boommobile (Borderless)","","310","R","Near Mint","0.25","0.21","1.3700","0.0600","2","0","0.3500",""
"8520982","Magic","Aetherdrift","Boommobile (Borderless)","","310","R","Near Mint Foil","0.26","0.25","1.4100","0.1000","2","0","0.3500",""
"8424604","Magic","Aetherdrift","Brightglass Gearhulk","","191","M","Near Mint","3.30","4.29","3.8000","2.3000","0","0","13.8300",""
"8524629","Magic","Aetherdrift","Brightglass Gearhulk (Borderless)","","348","M","Near Mint","4.79","5.08","4.8000","3.4900","0","0","16.3600",""
"8519332","Magic","Aetherdrift","Bulwark Ox","","7","R","Near Mint","0.28","0.25","1.4000","0.0900","1","0","0.3500",""
"8521072","Magic","Aetherdrift","Bulwark Ox (Borderless)","","333","R","Near Mint","0.25","0.27","1.4000","0.0900","2","0","0.3500",""
"8546327","Magic","Aetherdrift","Burnout Bashtronaut","","115","R","Near Mint","0.22","0.24","1.3900","0.0800","0","0","0.4700",""
"8546332","Magic","Aetherdrift","Burnout Bashtronaut","","115","R","Near Mint Foil","0.25","0.25","1.4200","0.1100","0","0","0.6100",""
"8546272","Magic","Aetherdrift","Burnout Bashtronaut (Borderless)","","340","R","Near Mint Foil","0.43","0.45","1.5600","0.2500","0","0","0.5900",""
"8519392","Magic","Aetherdrift","Captain Howler, Sea Scourge","","194","R","Near Mint","0.26","0.25","1.3900","0.0800","0","0","0.3600",""
"8521132","Magic","Aetherdrift","Captain Howler, Sea Scourge (Borderless)","","361","R","Near Mint","0.49","0.50","1.5200","0.2100","0","0","1.6900",""
"8519452","Magic","Aetherdrift","Caradora, Heart of Alacria","","195","R","Near Mint","0.13","0.11","1.3600","0.0500","0","0","0.3500",""
"8521192","Magic","Aetherdrift","Caradora, Heart of Alacria (Borderless)","","362","R","Near Mint","0.18","0.16","1.3800","0.0700","0","0","0.3500",""
"8519512","Magic","Aetherdrift","Chandra, Spark Hunter","","116","M","Near Mint","3.18","4.33","3.2400","1.9300","0","0","3.8100",""
"8519542","Magic","Aetherdrift","Chandra, Spark Hunter","","116","M","Near Mint Foil","4.92","5.47","4.2300","2.9200","0","0","4.4300",""
"8554409","Magic","Aetherdrift","Coalstoke Gearhulk","","198","M","Near Mint","0.54","0.59","1.5100","0.2000","0","0","1.4400",""
"8527909","Magic","Aetherdrift","Count on Luck","","118","R","Near Mint","0.29","0.35","1.4800","0.1700","0","0","0.3600",""
"8527939","Magic","Aetherdrift","Count on Luck","","118","R","Near Mint Foil","0.31","0.38","1.4500","0.1400","0","0","0.4200",""
"8519632","Magic","Aetherdrift","Cryptcaller Chariot","","80","R","Near Mint","0.28","0.32","1.4500","0.1000","0","0","0.6700",""
"8519662","Magic","Aetherdrift","Cryptcaller Chariot","","80","R","Near Mint Foil","0.36","0.35","1.5100","0.2000","0","0","0.8400",""
"8521312","Magic","Aetherdrift","Cryptcaller Chariot (Borderless)","","306","R","Near Mint","0.57","0.52","1.5100","0.2000","0","0","1.2300",""
"8521342","Magic","Aetherdrift","Cryptcaller Chariot (Borderless)","","306","R","Near Mint Foil","0.93","0.82","1.9900","0.6800","0","0","2.4200",""
"8530572","Magic","Aetherdrift","Cursecloth Wrappings","","81","R","Near Mint","0.31","0.38","1.4400","0.1300","0","0","0.2900",""
"8530532","Magic","Aetherdrift","Cursecloth Wrappings (Extended Art)","","383","R","Near Mint","0.39","0.39","1.5500","0.2400","0","0","0.6100",""
"8373842","Magic","Aetherdrift","Daretti, Rocketeer Engineer","","120","R","Near Mint","0.13","0.10","1.3400","0.0300","2","0","0.3500",""
"8373847","Magic","Aetherdrift","Daretti, Rocketeer Engineer","","120","R","Near Mint Foil","0.13","0.15","1.4100","0.1000","1","0","0.3500",""
"8523849","Magic","Aetherdrift","Daretti, Rocketeer Engineer (Borderless)","","358","R","Near Mint","0.21","0.24","1.4000","0.0900","1","0","0.3500",""
"8523909","Magic","Aetherdrift","Daretti, Rocketeer Engineer (First-Place Foil)","","458","R","Near Mint Foil","2.04","1.24","2.5500","1.2400","0","0","3.8000",""
"8547211","Magic","Aetherdrift","Debris Beetle","","199","R","Near Mint","0.13","0.10","1.3700","0.0600","0","0","0.3500",""
"8547216","Magic","Aetherdrift","Debris Beetle","","199","R","Near Mint Foil","0.19","0.19","1.4500","0.1400","0","0","0.3400",""
"8532712","Magic","Aetherdrift","Defend the Rider","","157","U","Near Mint","0.31","0.33","1.5300","0.2200","0","0","0.2600",""
"8532717","Magic","Aetherdrift","Defend the Rider","","157","U","Near Mint Foil","0.54","0.78","1.5000","0.1900","1","0","0.5400",""
"8538683","Magic","Aetherdrift","Demonic Junker","","83","R","Near Mint","0.22","0.25","1.4000","0.0900","0","0","0.6200",""
"8540538","Magic","Aetherdrift","Demonic Junker (Borderless)","","307","R","Near Mint Foil","0.46","0.44","1.5600","0.2500","0","0","0.7100",""
"8539343","Magic","Aetherdrift","District Mascot","","158","R","Near Mint","0.29","0.29","1.5100","0.2000","0","0","0.6500",""
"8539763","Magic","Aetherdrift","Diversion Unit","","41","U","Near Mint","0.13","0.10","1.3200","0.0100","6","0","0.3500",""
"8539768","Magic","Aetherdrift","Diversion Unit","","41","U","Near Mint Foil","0.20","0.18","1.4000","0.0900","1","0","0.3500",""
"8523984","Magic","Aetherdrift","Draconautics Engineer","","121","R","Near Mint","0.22","0.25","1.3700","0.0600","0","0","1.0400",""
"8523914","Magic","Aetherdrift","Draconautics Engineer (Borderless)","","341","R","Near Mint","0.25","0.35","1.3600","0.0500","0","0","1.4300",""
"8539163","Magic","Aetherdrift","Dredger's Insight","","159","U","Near Mint","0.21","0.24","1.4300","0.1200","0","0","0.2800",""
"8539168","Magic","Aetherdrift","Dredger's Insight","","159","U","Near Mint Foil","0.60","0.60","1.5100","0.2000","0","0","0.4600",""
"8538803","Magic","Aetherdrift","Explosive Getaway","","202","R","Near Mint","0.10","0.08","1.3200","0.0100","0","0","0.3500",""
"8538808","Magic","Aetherdrift","Explosive Getaway","","202","R","Near Mint Foil","0.10","0.08","1.3500","0.0400","1","0","0.3500",""
"8540448","Magic","Aetherdrift","Explosive Getaway (Showcase) (Fracture Foil)","","413","M","Near Mint Foil","29.82","22.98","16.1400","16.1400","1","0","29.8200",""
"8519692","Magic","Aetherdrift","Far Fortune, End Boss","","203","R","Near Mint","0.10","0.10","1.3800","0.0700","4","0","0.3500",""
"8519722","Magic","Aetherdrift","Far Fortune, End Boss","","203","R","Near Mint Foil","0.12","0.10","1.3500","0.0400","1","0","0.3500",""
"8521372","Magic","Aetherdrift","Far Fortune, End Boss (Borderless)","","363","R","Near Mint","0.21","0.24","1.3600","0.0500","0","0","0.3500",""
"8527969","Magic","Aetherdrift","Fearless Swashbuckler","","204","R","Near Mint","0.18","0.15","1.3600","0.0500","0","0","0.2700",""
"8527999","Magic","Aetherdrift","Fearless Swashbuckler","","204","R","Near Mint Foil","0.19","0.15","1.4000","0.0900","1","0","0.3500",""
"8529163","Magic","Aetherdrift","Fearless Swashbuckler (Borderless)","","346","R","Near Mint","0.22","0.20","1.4000","0.0900","3","0","0.3500",""
"8526191","Magic","Aetherdrift","Forest (0511) (First-Place Foil)","","511","L","Near Mint Foil","0.70","0.92","1.5600","0.2500","0","0","0.9200",""
"8521432","Magic","Aetherdrift","Forest (0516) (First-Place Foil)","","516","L","Near Mint Foil","4.69","4.97","5.0500","3.7400","0","0","4.7400",""
"8528029","Magic","Aetherdrift","Full Throttle","","127","R","Near Mint","1.75","2.06","2.0600","0.7500","0","0","1.7500",""
"8528033","Magic","Aetherdrift","Full Throttle","","127","R","Damaged","1.74","","2.8900","1.4000","0","0","1.9700",""
"8528059","Magic","Aetherdrift","Full Throttle","","127","R","Near Mint Foil","1.58","2.18","2.5100","1.2000","0","0","2.3000",""
